"Analyte Name"	"Analyte ID"	"Target Position"	"Organism (Best Match)"	"Score Value (Best Match)"	"Organism (Second Best Match)"	"Score Value (Second Best Match)"	"Category"	"Identification"	"Comment"	"Analysis Date"	"Spectra Count"	"Operator"	"Instrument"	"Library"	"Method"	"Spot Type"
"2502190001"	"2502190001-A"	"A1"	"Escherichia coli"	"2.456"	"Escherichia fergusonii"	"1.834"	"A"	"Escherichia coli"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190001"	"2502190001-B"	"A2"	"Escherichia coli"	"2.398"	"Escherichia fergusonii"	"1.812"	"A"	"Escherichia coli"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190002"	"2502190002-A"	"A3"	"Staphylococcus aureus"	"2.534"	"Staphylococcus argenteus"	"1.678"	"A"	"Staphylococcus aureus"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190003"	"2502190003-A"	"A4"	"Klebsiella pneumoniae"	"2.312"	"Klebsiella variicola"	"2.089"	"A"	"Klebsiella pneumoniae"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190004"	"2502190004-A"	"A5"	"Pseudomonas aeruginosa"	"2.578"	"Pseudomonas fluorescens"	"1.523"	"A"	"Pseudomonas aeruginosa"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190005"	"2502190005-A"	"A6"	"Enterococcus faecalis"	"2.267"	"Enterococcus faecium"	"1.745"	"B"	"Enterococcus faecalis"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190006"	"2502190006-A"	"A7"	"Candida albicans"	"2.423"	"Candida dubliniensis"	"1.654"	"A"	"Candida albicans"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190007"	"2502190007-A"	"A8"	"Proteus mirabilis"	"2.189"	"Proteus vulgaris"	"1.923"	"B"	"Proteus mirabilis"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190008"	"2502190008-A"	"A9"	"Acinetobacter baumannii"	"2.345"	"Acinetobacter pittii"	"2.178"	"A"	"Acinetobacter baumannii"	"Close second-best match; clinical correlation recommended"	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190009"	"2502190009-A"	"A10"	"Streptococcus pneumoniae"	"2.412"	"Streptococcus mitis"	"2.234"	"A"	"Streptococcus pneumoniae"	"S. pneumoniae / S. mitis group - supplemental testing recommended"	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190010"	"2502190010-A"	"A11"	"Salmonella enterica"	"2.367"	"Salmonella bongori"	"1.456"	"A"	"Salmonella enterica"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190011"	"2502190011-A"	"A12"	"Neisseria gonorrhoeae"	"2.289"	"Neisseria meningitidis"	"1.867"	"B"	"Neisseria gonorrhoeae"	""	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
"2502190012"	"2502190012-A"	"B1"	"Mycobacterium tuberculosis"	"2.178"	"Mycobacterium bovis"	"2.034"	"B"	"Mycobacterium tuberculosis"	"MBT Mycobacteria Library used; confirm with supplemental testing"	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT Mycobacteria IVD"	"Extraction"
"BTS"	"BTS-001"	"H12"	"Escherichia coli"	"2.534"	"Escherichia fergusonii"	"1.798"	"A"	"Escherichia coli"	"Bacterial Test Standard - PASS"	"2025-02-19 09:15:23"	"3"	"TECH01"	"Biotyper Sirius"	"MBT Compass IVD Library Rev.12"	"MBT IVD"	"Direct Transfer"
