Summary,Issue Type,Description,Priority,Labels,Assignee,Epic Name,Epic Link,Parent
"Decouple Sample Collection Process & Support Environmental Workflows",Epic,"OVERVIEW:\nThis epic addresses two critical decoupling and workflow enhancement initiatives in OpenELIS Global:\n\n1. DECOUPLING AddOrder.js:\nRedesign the monolithic AddOrder.js form into 4 independently routable steps: Enter Order, Collect Sample, Label & Store, and QA Review. Each step is accessible as its own submenu item under ""Add Order"" in the sidebar, supports different primary actors (physician, phlebotomist, lab tech, QA officer), and shares order context via a unified OrderContext.\n\n2. ENVIRONMENTAL SAMPLE SUPPORT:\nAdd proper environmental sample workflow support with field configuration at the lab unit level. The workflow type (Clinical, Environmental, or Both) determines which fields appear in Enter Order and Collect Sample steps, enabling unified clinical/environmental workflows.\n\nKEY DELIVERABLES:\n- 4-step sample collection workflow with independent routing\n- Unified Order Dashboard with search and incoming order acceptance\n- Lab unit configuration to toggle workflow type\n- Environmental GPS capture, location hierarchy, and NCE reporting\n- WCAG AA accessibility compliance across all steps\n- Edit Order workflow with read-only mode and admin-gated test cancellation\n- Cross-cutting features: auto-save, keyboard navigation, unified search pattern\n\nATTACHMENTS & SPECIFICATIONS:\n- OpenELIS_Sample_Collection_Mockup.html (interactive HTML mockup with Order Dashboard)\n- OpenELIS_Sample_Collection_Redesign_FRS.md (full FRS with 70+ requirements covering all 9 sub-tasks)\n- OpenELIS_Sample_Collection_Design_Critique.md (design critique with findings and recommendations)\n- Design Decision Transcript (rationale for 4-step decomposition and unified workflows)\n\nRELATED USER STORIES: US-1 through US-25\n\nThis redesign supports both clinical lab workflows (physician/phlebotomist/lab tech) AND environmental sample collection (environmental collectors with GPS, location hierarchy, environmental-specific fields), enabling OpenELIS Global to serve diverse lab settings globally.","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign",,
"Implement sidebar navigation, routing, and progress stepper for 4-step workflow",Sub-task,"OVERVIEW:\nImplement the navigation infrastructure for the decoupled sample collection workflow, enabling users to access each of the 4 independent steps via sidebar menu expansion and dedicated routes.\n\nFRS REQUIREMENTS:\n- NAV-1: Sidebar ""Add Order"" expands to 4 child items (Enter Order, Collect Sample, Label & Store, QA Review)\n- NAV-2: Independent routing via /order/enter, /order/collect, /order/label, /order/qa\n- NAV-3: Progress stepper at top of each step (completed/in-progress/pending states)\n- NAV-4: Save & Next auto-advance with Save option to stay\n- NAV-5: Order context summary card on all steps\n- NAV-6: Barcode scan / lab number search bar on every step (loads order in read-only mode)\n- NAV-7: Deprecate ""Edit Order"" sidebar item\n- NAV-8: Inline scan feedback — green success or red error within 500ms\n\nDESCRIPTION:\nThis sub-task includes:\n1. Expand sidebar menu structure to show 4 child items under ""Add Order""\n2. Implement client-side routing for all 4 steps\n3. Build progress stepper component with state machine\n4. Add order context summary card\n5. Implement barcode/lab number search bar with inline validation feedback\n6. Deprecate old ""Edit Order"" menu item\n7. Test keyboard navigation and accessibility\n\nENVIRONMENTAL RELEVANCE:\nThe navigation system supports both clinical and environmental workflows. The progress stepper and barcode scan are used for both clinical lab orders and environmental sample collection workflows.\n\nACCEPTANCE CRITERIA:\n- All 4 steps independently routable via dedicated URLs\n- Stepper displays correct state (completed/in-progress/pending) per step\n- Barcode scan loads order with inline success/error feedback within 500ms\n- ""Edit Order"" menu item removed or deprecated\n- Progress stepper keyboard navigable\n- All UI elements meet WCAG AA contrast requirements\n\nRELATED USER STORIES: US-4, US-18, US-22\n\nDEPENDENCIES: Must precede all other sub-tasks; needed before Steps 1-9 can be routed.","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Build Enter Order step with patient/provider search, test selection, and program fields",Sub-task,"OVERVIEW:\nImplement the Enter Order step as a standalone page supporting both clinical and environmental workflows. This step is the first in the 4-step process and serves physicians, clinicians, and field staff entering new orders.\n\nFRS REQUIREMENTS:\n- ORD-1: Lab Number assignment (auto-generated or manual) at top of form\n- ORD-1a: Print Labels section (collapsed by default, configurable label types)\n- ORD-1b: Capture requester, site/department, priority, subject info; tests OPTIONAL\n- ORD-2: Clinical shows patient search; Environmental shows location hierarchy\n- ORD-3: ""Both"" mode shows Clinical/Environmental toggle\n- ORD-4: Draft save support\n- ORD-5: FHIR R4 order API endpoint\n- ORD-6: ICD-10/ICD-11 code lookup\n- ORD-7: Paginated test/panel selection with filters\n- ORD-8: Unified search pattern for Provider and Site (search fields → button → inline table → selected card)\n- ORD-9: Patient summary card with photo\n- ORD-10: Program-specific additional fields (e.g., VL Program)\n- ORD-11: New Patient inline form matching existing Add/Modify Patient\n\nDESCRIPTION:\nThis sub-task includes:\n1. Lab number generation and assignment UI\n2. Lab number can be auto-generated or manually entered\n3. Print Labels section (collapsed, configurable for label types)\n4. Requester, site/department, priority, subject info fields\n5. Clinical workflow: Patient search with unified pattern\n6. Environmental workflow: Location hierarchy with GPS pre-populate\n7. ""Both"" mode: Toggle between clinical and environmental\n8. Draft order save/restore functionality\n9. FHIR R4 POST endpoint for order persistence\n10. ICD-10/ICD-11 code lookup integration\n11. Paginated test/panel selection with searchable filters\n12. Unified search pattern: Search field → Search button → Inline results table → Selected item card\n13. Patient summary card showing demographics and photo\n14. Program-specific additional fields appearing dynamically\n15. New Patient inline form matching existing UX\n16. Auto-save every 30s (per XC-1)\n\nENVIRONMENTAL RELEVANCE:\nEnvironmental collectors see location hierarchy instead of patient search. ""Both"" mode includes toggle to switch workflow type. Environmental sample sites, departments, and programs appear based on lab unit configuration (CFG-1).\n\nACCEPTANCE CRITERIA:\n- Lab number generated and displayed prominently\n- Patient, Provider, Site searches all follow unified pattern (search field → button → inline table → selected card)\n- Program-specific fields appear/disappear dynamically based on selected program\n- Order data persists via FHIR R4 endpoint\n- Environmental workflow shows location hierarchy instead of patient search\n- ""Both"" mode allows toggling between clinical and environmental\n- Draft orders can be saved and restored\n- ICD codes can be looked up and selected\n- Auto-save works in low-connectivity environments\n- All form fields meet WCAG AA accessibility (contrast, labels, focus indicators)\n\nRELATED USER STORIES: US-1, US-2, US-3, US-5, US-11\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation & Step Decoupling), CFG-1-4 (Lab Unit Workflow Configuration), XC-1-6 (Cross-Cutting features)","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Build Collect Sample step with test-to-sample assignment, inline choice popover, and CSV import",Sub-task,"OVERVIEW:\nImplement the Collect Sample step supporting manual and batch sample collection. This step allows phlebotomists and environmental collectors to record sample collection, assign tests to samples, and optionally import multiple samples via CSV.\n\nFRS REQUIREMENTS:\n- COL-1: Requested Tests table with panel group headers, sample type buttons, inline choice popover for existing/new sample\n- COL-2: Sample cards with type, quantity, UOM, optional collection data, auto-populated received-at-lab\n- COL-3: Environmental GPS capture\n- COL-4: NCE reporting per sample (replaces Rejected dropdown)\n- COL-5: Multiple independent samples per order\n- COL-11: Choose-or-create logic when matching sample exists\n- COL-12: Print additional specimen labels\n- COL-6 through COL-10: CSV template download, upload, preview with validation, import, position mapping\n\nDESCRIPTION:\nThis sub-task includes:\n1. Requested Tests table showing tests grouped by panel\n2. Sample type buttons next to each test\n3. Inline popover when sample type button clicked (shows ""new"" or existing samples if match found)\n4. Choose-or-create logic: if matching sample exists, show option to use or create new\n5. Sample cards displaying type, quantity, UOM, optional collection date/time, received-at-lab timestamp\n6. Environmental GPS capture for environmental samples\n7. Test-to-sample assignment via drag-drop or click-to-assign\n8. NCE (Non-Conformance Event) reporting section per sample (replaces old Rejected dropdown)\n9. Support for multiple independent samples per order\n10. CSV template download with configurable columns\n11. CSV file upload with row-level validation preview\n12. CSV import with position mapping for custom columns\n13. Print additional specimen labels button\n14. Auto-populate received-at-lab timestamp\n\nENVIRONMENTAL RELEVANCE:\nEnvironmental collectors use the same step with GPS capture enabled. Environmental-specific fields like location, environmental conditions, and GPS coordinates appear based on lab unit configuration. NCE reporting is used for environmental samples with environmental-specific reason codes.\n\nACCEPTANCE CRITERIA:\n- Clicking sample type button shows inline popover when match exists\n- Tests assignable to multiple samples\n- CSV import with row-level validation and preview before commit\n- NCE section replaces rejection dropdown\n- Environmental GPS captured for environmental samples\n- Multiple samples per order supported\n- ""Choose or Create"" logic works: if sample exists, user prompted\n- Print additional labels button functional\n- Auto-save every 30s for low-connectivity robustness\n- All interactive elements keyboard accessible\n\nRELATED USER STORIES: US-4, US-5, US-6, US-12, US-13, US-16, US-17\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation), ORD-1-11 (Step 1), XC-1-6 (Cross-Cutting features), CFG-1-4 (Lab Unit Workflow Configuration)","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Build Label & Store step with print labels and inline storage assignment",Sub-task,"OVERVIEW:\nImplement the labeling and storage step, the third in the 4-step workflow. This step allows lab technicians to print barcode labels and assign samples to storage locations.\n\nFRS REQUIREMENTS:\n- LBL-1: Display lab number (read-only) and collected samples\n- LBL-2: Print Labels section (same config as Step 1, including Freezer Labels)\n- LBL-3: Inline storage assignment (existing OpenELIS ""Assign Storage Location"" rendered inline)\n- LBL-4: Container position field validation\n\nDESCRIPTION:\nThis sub-task includes:\n1. Read-only lab number display\n2. Display all collected samples with type, quantity, UOM, collection timestamp\n3. Print Labels section with configurable label types (same options as Step 1)\n4. Freezer Label option\n5. Inline storage assignment widget (not modal) using existing OpenELIS storage assignment component\n6. Barcode scan for quick storage assignment\n7. Container position field with format validation against storage location configuration\n8. Status indicators for storage assignment (pending/assigned/validated)\n9. Audit trail for storage assignments\n\nENVIRONMENTAL RELEVANCE:\nEnvironmental samples go through the same labeling and storage process. Environmental sample types and storage locations are configured at the lab unit level.\n\nACCEPTANCE CRITERIA:\n- Labels printable from this step with configurable types\n- Storage assignment inline (not modal)\n- Barcode scan for quick assign functional\n- Position format validated against storage location config\n- Lab number displayed as read-only\n- All samples collected in Step 2 visible\n- Storage location assignment recorded in audit trail\n- All UI elements keyboard navigable\n\nRELATED USER STORIES: US-7, US-8, US-17\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation), COL-1-12 (Step 2), XC-1-6 (Cross-Cutting features)","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Build QA Review step with completeness dashboard, NCE reporting, and step-targeted reject",Sub-task,"OVERVIEW:\nImplement the QA Review step, the fourth and final step in the 4-step workflow. This step enables QA officers to review order completeness across all 4 steps, report non-conformance events (NCE), and approve or reject orders with step-targeted routing.\n\nFRS REQUIREMENTS:\n- QA-1: Completeness dashboard (green/yellow/red per step per sample)\n- QA-2: Sample Review table with test assignments, status, NCE column\n- QA-3: Collapsed NCE section for sample-level or order-level NCE\n- QA-4: Auto-reject order when all samples rejected\n- QA-5: Approve for testing OR reject to specific step (dropdown: Step 1/2/3)\n- QA-6: Full audit trail across all steps\n\nDESCRIPTION:\nThis sub-task includes:\n1. Completeness dashboard showing green (complete)/yellow (warning)/red (incomplete) for each step and sample\n2. Sample Review table showing tests, assignments, status, and NCE column\n3. Collapsible NCE section with sample-level or order-level NCE entry\n4. Auto-reject functionality: if all samples rejected, order automatically marked rejected\n5. Approve button to send to testing\n6. Reject button with step dropdown (Step 1/2/3) to route back for fixes\n7. Full audit trail showing all QA actions across all 4 steps\n8. Step-specific completeness indicators\n9. Test result status indicators (visible from Step 6: Edit Order)\n\nENVIRONMENTAL RELEVANCE:\nQA Review applies to both clinical and environmental orders. Environmental samples show environmental-specific data (GPS, location, environmental conditions). NCE reason codes differ by workflow type.\n\nACCEPTANCE CRITERIA:\n- Dashboard shows completeness per step per sample (green/yellow/red)\n- NCE can target specific sample or entire order\n- Reject includes step dropdown selector (Steps 1/2/3)\n- Returned orders show ""Returned from QA"" indicator\n- Auto-reject when all samples marked rejected\n- Full audit trail recorded for all QA actions\n- Approve button routes to testing\n- All UI elements keyboard accessible and WCAG AA compliant\n\nRELATED USER STORIES: US-9, US-10, US-14, US-15, US-25\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation), ORD-1-11 (Step 1), COL-1-12 (Step 2), LBL-1-4 (Step 3), XC-1-6 (Cross-Cutting features)","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Implement read-only order loading, edit toggle, and admin-gated test cancellation with NCE",Sub-task,"OVERVIEW:\nImplement the Edit Order workflow. When an existing order is loaded (via barcode scan or search), render all 4 steps in read-only mode by default. Add an edit toggle to enable field editing, and implement admin-gated test cancellation with mandatory NCE reporting.\n\nFRS REQUIREMENTS:\n- EDT-1: Read-only mode by default; ""Edit"" button in header enables fields\n- EDT-2: Test result status indicators (Results Entered, Validated, No Results, Cancelled)\n- EDT-3: Non-admin users cannot cancel tests with results (disabled button + tooltip)\n- EDT-4: Admin cancellation of tests with results requires mandatory NCE entry\n- EDT-5: Tests without results cancellable by any edit-permitted user\n- EDT-6: Same 4-step screens used; user lands on current step; data pre-populated\n\nDESCRIPTION:\nThis sub-task includes:\n1. Order loading via barcode scan or search (nav NAV-6)\n2. All 4-step screens rendered in read-only mode by default\n3. Read-only visual styling (grayed out, no interaction)\n4. ""Edit"" button in page header to toggle edit mode\n5. When edit enabled, fields become editable\n6. Test result status indicators: ""Results Entered"", ""Validated"", ""No Results"", ""Cancelled""\n7. Cancel button per test\n8. Role-based cancellation:\n   - Non-admin: cannot cancel tests with results (button disabled with tooltip)\n   - Non-admin: can cancel tests without results\n   - Admin: can cancel any test but must enter mandatory NCE\n9. Mandatory NCE form before admin can confirm test cancellation\n10. User lands on current step in order workflow\n11. All form data pre-populated from database\n12. Audit trail records all edits and cancellations\n13. Edit mode warning: unsaved changes when navigating away\n\nENVIRONMENTAL RELEVANCE:\nEdit Order workflow applies to both clinical and environmental orders. Environmental-specific fields (GPS, location) are also loaded in read-only mode.\n\nACCEPTANCE CRITERIA:\n- Scanned orders load in read-only mode with visual indicators\n- Edit button enables field editing\n- Cancel disabled for non-admins on tests with results (with tooltip)\n- NCE form mandatory before admin cancellation commits\n- Test result status indicators display correctly\n- User lands on current step in order workflow\n- All pre-populated data correct\n- Audit trail records all cancellations and edits\n- All UI elements keyboard navigable\n- Navigation warnings appear on unsaved changes\n\nRELATED USER STORIES: US-18, US-19, US-20, US-21\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation), ORD-1-11 (Step 1), COL-1-12 (Step 2), LBL-1-4 (Step 3), QA-1-6 (Step 4), XC-1-6 (Cross-Cutting features)","Medium","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Add workflow type configuration to lab unit admin settings",Sub-task,"OVERVIEW:\nImplement workflow type configuration at the lab unit administration level. This enables lab administrators to specify whether a lab unit operates Clinical, Environmental, or Both workflow types, which dynamically affects Enter Order and Collect Sample form fields.\n\nFRS REQUIREMENTS:\n- CFG-1: Workflow Type dropdown (Clinical, Environmental, Both)\n- CFG-2: Changing type immediately affects Enter Order and Collect Sample fields\n- CFG-3: Preview of enabled fields in admin panel\n- CFG-4: (P2) Custom field groups\n\nDESCRIPTION:\nThis sub-task includes:\n1. Add ""Workflow Type"" dropdown to lab unit admin settings\n2. Options: Clinical, Environmental, Both\n3. Default to existing workflow (backward compatibility)\n4. On change, immediately show field preview\n5. Preview panel shows which fields appear in Enter Order and Collect Sample for selected type\n6. Save button persists setting to database\n7. Changes affect all users accessing that lab unit\n8. Audit trail logs workflow type changes\n9. (P2) Future: custom field groups allowing lab units to hide/show specific fields\n\nCLINICAL WORKFLOW FIELDS (Enter Order step):\n- Patient search, patient summary card, ICD codes, programs\n\nENVIRONMENTAL WORKFLOW FIELDS (Enter Order step):\n- Location hierarchy, GPS pre-populate, environmental programs, environmental-specific fields\n\nBOTH WORKFLOW FIELDS (Enter Order step):\n- Toggle to switch between Clinical and Environmental modes\n\nCLINICAL VS ENVIRONMENTAL IN COLLECT SAMPLE:\n- Clinical: sample type buttons, test-to-sample assignment, standard NCE codes\n- Environmental: GPS capture, environmental conditions, location hierarchy, environmental NCE codes\n\nDESCRIPTION:\nThis sub-task includes:\n1. Lab unit admin settings page with Workflow Type dropdown\n2. Three options: Clinical, Environmental, Both\n3. Field preview panel showing enabled fields for each type\n4. Immediate update (no page reload required)\n5. Save persists to database\n6. Audit trail logs all workflow type changes\n7. Help text explaining field visibility per workflow type\n\nENVIRONMENTAL RELEVANCE:\nThis is the control mechanism enabling environmental sample support. Environmental labs set workflow type to ""Environmental"" or ""Both"" to activate environmental fields.\n\nACCEPTANCE CRITERIA:\n- Workflow Type dropdown appears in lab unit admin\n- Selecting type shows field preview\n- Changes apply immediately (no reload)\n- Clinical labs: patient search, programs\n- Environmental labs: location hierarchy, GPS, environmental fields\n- Both: toggle between workflow types\n- Setting persists across sessions\n- Audit trail records all changes\n- Help text clear for each option\n\nRELATED USER STORIES: US-2, US-11\n\nDEPENDENCIES: Requires ORD-1-11 (Step 1), COL-1-12 (Step 2) to be aware of workflow type parameter\n\nNOTE: P2 custom field groups deferred to future release","Medium","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Implement auto-save, WCAG AA accessibility, keyboard navigation, and unified search pattern",Sub-task,"OVERVIEW:\nImplement cross-cutting features that apply to all 4 steps of the workflow: auto-save functionality, WCAG AA accessibility compliance, keyboard navigation, and a unified search pattern for Patient, Provider, and Site searches.\n\nFRS REQUIREMENTS:\n- XC-1: Auto-save every 30s on dirty forms + save status indicator + navigation warning\n- XC-2: Unified search pattern for Patient, Provider, Site\n- XC-3: WCAG AA contrast (helper text ≥ 4.5:1, no opacity-based disabled states)\n- XC-4: 32px minimum touch targets\n- XC-5: ARIA attributes (stepper, collapsibles, popovers)\n- XC-6: Keyboard navigation with visible focus indicators\n\nDESCRIPTION:\n\n1. AUTO-SAVE (XC-1):\n- Auto-save to backend every 30 seconds on dirty form\n- Save status indicator (e.g., ""Saving..."", ""Saved at 2:15pm"", ""Error saving"")\n- Navigation warning: if user tries to leave page with unsaved changes, show confirmation\n- Works in low-connectivity environments (queue saves locally, retry on reconnect)\n- Persist save state in browser localStorage as backup\n\n2. UNIFIED SEARCH PATTERN (XC-2):\nApplies to Patient, Provider, Site searches (ORD-8):\n- Search input field with placeholder text\n- Search button (or Enter key) triggers search\n- Results displayed in inline table (not modal)\n- Clicking row in results table shows selected item card\n- Can clear selection and search again\n- Keyboard navigable: Tab through search field → button → results table → card\n\n3. WCAG AA ACCESSIBILITY (XC-3, XC-4, XC-5, XC-6):\n- Color contrast ≥ 4.5:1 for all text including helper text\n- Disabled state: use visual indicators (icons, text) not opacity alone\n- Minimum 32px touch targets for all interactive elements\n- ARIA attributes:\n  - aria-label, aria-describedby on all form fields\n  - role=""tablist"" on stepper, role=""tab"" on steps\n  - role=""region"" on collapsibles with aria-expanded\n  - role=""dialog"" on popovers with focus trap\n  - role=""status"" on save status indicator\n  - aria-live=""polite"" on validation messages\n- Keyboard navigation:\n  - Tab order logical and visible\n  - Focus indicators bright and clearly visible (not subtle)\n  - Enter/Space to activate buttons\n  - Arrow keys in stepper/tabs\n  - Escape to close popovers/modals\n  - Screen reader announces all updates\n\nDESCRIPTION:\nThis sub-task includes:\n1. Auto-save backend endpoint (POST /api/order/autosave)\n2. Auto-save timer and dirty form tracking\n3. Save status component with timestamps\n4. localStorage backup for unsaved drafts\n5. Low-connectivity retry logic\n6. Navigation warning on unsaved changes\n7. Unified search component (reusable across Patient/Provider/Site)\n8. Search input + button + results table + selected card\n9. Keyboard navigation through search flow\n10. Color contrast audit and fixes\n11. Disabled state visual indicators (icons, text, not opacity)\n12. Touch target size validation (32px minimum)\n13. ARIA attribute audit and implementation\n14. Keyboard navigation testing\n15. Screen reader testing (NVDA, JAWS, VoiceOver)\n16. Focus indicator styling (bright, visible)\n17. Validation message announcements\n\nENVIRONMENTAL RELEVANCE:\nThese cross-cutting features apply to both clinical and environmental workflows. Unified search works for Provider (clinical) and Site (environmental). Auto-save essential for environmental field collectors in low-connectivity settings.\n\nACCEPTANCE CRITERIA:\n- Auto-save works in low-connectivity environments\n- All interactive elements keyboard-accessible\n- Tab order logical and focus visible\n- Screen reader can navigate all steps\n- Arrow keys work in stepper\n- Escape closes popovers\n- All text meets 4.5:1 contrast (WCAG AA)\n- Touch targets minimum 32px\n- Disabled buttons have visual indicator (icon/text, not just opacity)\n- ARIA attributes present and correct\n- Help text and validation messages announced\n- Unified search pattern works for Patient, Provider, Site\n- Search results table keyboard navigable\n- Save status indicator shows timestamp\n- Navigation warning on unsaved changes\n- localStorage draft backup functional\n\nRELATED USER STORIES: US-1 through US-25 (all stories depend on these cross-cutting features)\n\nDEPENDENCIES: Cross-cutting; must be implemented in parallel with or before Steps 1-5\n\nNOTE: Recommend using Axe DevTools and manual screen reader testing (NVDA for Windows, VoiceOver for Mac) throughout implementation.","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows",
"Build unified Order Dashboard with in-progress queue, search, and incoming external order acceptance",Sub-task,"OVERVIEW:\nBuild a unified Order Dashboard as the default landing page for the ""Add Order"" parent menu. The dashboard displays the user's in-progress orders by default, with powerful search and filtering capabilities. It also includes an ""Include external sources"" toggle to accept incoming EMR/referral orders from external systems.\n\nFRS REQUIREMENTS:\n- DSH-1: Dashboard as default landing page for ""Add Order"" parent menu\n- DSH-2: Search within lab orders (patient name, lab number, national ID, referring lab number)\n- DSH-3: ""Include external sources"" checkbox to reveal incoming EMR/referral orders\n- DSH-4: Table with lab number, patient, facility, priority, current step (with progress bar), action buttons\n- DSH-5: ""+ New Order"" button routes to Step 1\n- DSH-6: Barcode quick-lookup bar (same behavior as NAV-6)\n- DSH-7: Filter dropdowns (status, date range, priority)\n- DSH-8: Returned-from-QA orders highlighted with ""Fix Issue"" button\n- DSH-9: Pagination (25/50/100 items per page)\n- INC-1 through INC-6: Incoming external order display, acceptance workflow, lab number options (Scan/Enter/Generate/Use Current)\n\nDESCRIPTION:\nThis sub-task includes:\n\n1. DASHBOARD LAYOUT:\n- Unified Order Dashboard as default view when clicking ""Add Order"" parent menu\n- Two sections: My In-Progress Orders (default) + Incoming External Orders (optional, toggle)\n\n2. IN-PROGRESS ORDERS:\n- Default view on page load\n- Shows all orders for current user in progress (not yet approved for testing)\n- Table columns: lab number, patient name, facility, priority, current step (with progress bar showing 1/4, 2/4, etc.), action buttons\n- Progress bar shows visual representation of workflow completion\n- Status indicators: Draft, In Progress, Returned from QA, Ready for QA\n- Returned-from-QA orders highlighted with ""Fix Issue"" button\n\n3. SEARCH & FILTERING:\n- Search bar at top for finding orders (patient name, lab number, national ID, referring lab number)\n- Barcode quick-lookup bar (same as NAV-6 behavior)\n- Filter dropdowns: Status, Date Range, Priority\n- Search results show in same table format\n- Pagination: 25/50/100 items per page\n\n4. INCOMING EXTERNAL ORDERS:\n- ""Include external sources"" checkbox to toggle external order visibility\n- When checked, append incoming EMR/referral orders to table\n- Each external order shows source (EMR, Referral Lab, etc.)\n- ""Accept"" button per external order to start acceptance workflow\n- Acceptance workflow:\n  - Show order details (patient, tests, source)\n  - Lab Number field with 4 options:\n    a. Scan existing lab number\n    b. Enter lab number manually\n    c. Generate new lab number (auto-increment)\n    d. Use current lab number if available\n  - Confirm to create order and route to Step 1 with pre-populated data\n\n5. ACTION BUTTONS:\n- ""+ New Order"" button at top-right, routes to Step 1\n- Edit icon per row: routes to order in read-only mode\n- Accept button per external order (only visible in external orders section)\n- ""Fix Issue"" button for returned-from-QA orders\n\n6. ACCESSIBILITY & PERFORMANCE:\n- Keyboard navigation through table\n- Screen reader announces row content\n- Lazy load external orders on toggle\n- Pagination efficient for large datasets\n- Auto-save for in-progress orders (via XC-1)\n\nENVIRONMENTAL RELEVANCE:\nDashboard shows both clinical and environmental orders in same view. External order acceptance workflow works for both. Environmental collectors see in-progress environmental orders and can accept incoming environmental samples from external sources.\n\nACCEPTANCE CRITERIA:\n- Dashboard loads as default when clicking ""Add Order""\n- My in-progress orders shown without extra clicks\n- Search returns internal results; toggle adds external\n- Accept external order routes to Step 1 with pre-populated data\n- Lab number field offers Scan/Enter/Generate/Use Current\n- Returned-from-QA orders highlighted with ""Fix Issue"" button\n- Barcode quick-lookup functional (same as NAV-6)\n- Pagination works (25/50/100 per page)\n- Filter dropdowns work (status, date range, priority)\n- Progress bar shows current step (1/4, 2/4, 3/4, 4/4)\n- Status indicators clear (Draft, In Progress, Returned from QA, Ready for QA)\n- Keyboard navigation works through entire dashboard\n- Screen reader announces all table content\n- External order acceptance workflow tested end-to-end\n\nRELATED USER STORIES: US-22, US-23, US-24, US-25\n\nDEPENDENCIES: Requires NAV-1-8 (Navigation), ORD-1-11 (Step 1), COL-1-12 (Step 2), LBL-1-4 (Step 3), QA-1-6 (Step 4), XC-1-6 (Cross-Cutting features)","High","Indonesia,redesign,sample-collection,decoupling,environmental-samples",Reagan,"Sample Collection Redesign","Decouple Sample Collection Process & Support Environmental Workflows"
